"Transaction Hash","Timestamp","From","To","Transaction Type","Asset Contract Address","Asset Symbol / Name","Token ID","Amount","Gas Fee (ETH)"
"0x44892f7b8f48d3472add8432d03c080c4dd7093031e5d86f938798ddac61f1bf","2024-03-19T22:00:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.001339738007056232"
"0x51a45fa7bf4c7021f30595c75fc2eb7914607e3eb9d55a2d90e8a8eebd0905b5","2024-03-19T22:00:59Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.001437197476307958"
"0xb3cece7d6a2518293b72f4338e9d3c781ee1d64299792788fea01aa202096c68","2024-03-19T22:02:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.001405692063293698"
"0xb82b30d662bbc8792fc5c7b74ad3a65cfa1af5b85e35feb0a342bd8c1b0b91f9","2024-03-19T22:03:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.004493289249037611"
"0x2e11ca6067540d1cff86efdf20dfc4de15eb90c0cfc46b4883216129dc01c76b","2024-03-19T22:05:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.004232123042194701"
"0x3bcea553c2d099064f0c1086938e70f0660366867afb96b33f046b6109a280fc","2024-03-19T22:12:23Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.003829800512420778"
"0xc74b5aa0a8c2cc71a9804eb21e123dec63f8b5f2b322c373b14e109cd4c0bfd3","2024-03-19T22:17:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.003875084907223169"
"0xa8eb1090a2de62888dcbf8dc66afba468838c5ca86e0741f0ad8fdcaeca7a4b1","2024-03-19T22:21:59Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.001413681550085645"
"0x839bc0cd1f54bc819befe4bf8c3b83ef57e654e510f1cb76db476b17f59aa300","2024-03-19T22:23:23Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000888268655694"
"0x84cf1daa2b088ed19172f3fd616ba942ee2201f35b95d351391b20caf82f91bd","2024-03-19T22:24:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.00657274291916972"
"0xd1a4350e37e3d2567c607ec306e58b0d09494ea222e6e1cdb0a74ecc6f9ab363","2024-03-19T22:25:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000807886098873"
"0x5b29a19624ce2addb66041545853ad8421da3a1ce2b088b00fccbff5cbf6a534","2024-03-19T22:25:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.001712733"
"0x367916ce0afce6ece543a63c023f74336d8962b600aa94747f1673f605624458","2024-03-19T22:36:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000818872850439"
"0x9589bde7512a07f2eb2361ec3709c141afcde090b66dcb708e5d3f9b82fedd75","2024-03-19T22:38:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000799370081265"
"0x77ab125273fa12b7ac34f1189df3ad0c8d6e400c40fe18ec315513ea8cc0ca0f","2024-03-19T22:39:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000880310905194"
"0xdc4022be505bcf426345915e0fbc24771c59bef763e4ed72aa2d01cdd88ed083","2024-03-19T22:40:59Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000814573832457"
"0xd725011c0bf6d50677f8b4917c2a32eb18924fd71899d8506f76c24035a1c824","2024-03-19T22:42:23Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.00082768990626"
